,service,flag,src_bytes,dst_bytes,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,Label
32313,24,5,0,0,49,1,1,0.33,0.06,64,0.25,0.02,1,1,0
58739,24,9,342,23142,1,0,0,1,0,255,1,0,0,0,4
4949,24,9,226,1787,9,0,0,1,0,255,1,0,0,0,4
108007,66,5,0,0,130,1,1,0.05,0.06,7,0.03,0.07,1,1,0
113626,20,9,334,0,2,0,0,1,0,23,1,0,0,0,2
51582,54,9,12399,1853,1,0,0,1,0,244,0.95,0.04,0,0,4
107014,24,1,0,0,1,0,0,1,0,255,1,0,0,0,4
106056,24,9,302,14150,18,0,0,1,0,255,1,0,0,0,4
82358,49,5,0,0,262,1,1,0.02,0.06,14,0.05,0.08,1,1,0
3933,69,5,0,0,203,1,1,0.01,0.06,18,0.07,0.07,1,1,0
95496,12,9,83,45,1,0,0,1,0,68,0.61,0.03,0,0,4
53483,7,5,0,0,224,1,1,0.03,0.07,7,0.03,0.08,1,1,0
61150,49,1,0,0,202,0,0,0.08,0.07,17,0.07,0.07,0,0,0
68886,18,9,6,169,1,0,0,1,0,8,0.02,0.02,0,0,4
34550,63,5,0,0,17,1,1,0.53,0.18,15,0.06,0.07,1,1,0
25868,24,9,0,11595,4,0.25,0.25,1,0,255,1,0,0.02,0.01,4
79076,49,5,0,0,201,1,1,0.04,0.06,8,0.03,0.09,1,1,0
124808,24,9,224,7440,1,0,0,1,0,255,1,0,0,0,4
69392,49,1,0,0,148,0,0,0.02,0.06,3,0.01,0.06,0,0,0
17223,12,9,45,109,232,0,0,1,0,189,0.74,0.01,0,0,4
110193,49,5,0,0,165,1,1,0.02,0.08,20,0.08,0.07,1,1,0
75448,37,5,0,0,247,1,1,0.07,0.06,1,0,0.07,1,1,0
88277,24,9,211,9683,1,0,0,1,0,255,1,0,0,0,4
49319,24,9,308,331,7,0,0,1,0,255,1,0,0,0,4
113387,49,5,0,0,110,1,1,0.02,0.06,12,0.05,0.07,1,1,0
102896,14,9,8,0,1,0,0,1,0,46,1,0,0,0,1
58490,21,1,0,0,231,0,0,0.06,0.07,14,0.05,0.08,0,0,0
14509,43,9,48,48,4,0,0,0.25,0.5,201,0.79,0.01,0,0,4
61602,24,9,303,2239,4,0,0,1,0,253,0.99,0.01,0,0,4
65924,20,9,641,0,2,0,0,1,0,93,0.36,0.03,0,0,4
91998,49,1,0,0,232,0.11,0,0,1,1,0,0.96,0.1,0,1
110269,24,5,0,0,288,1,1,0.03,0.06,6,0.02,0.07,1,1,0
21921,0,4,3484,7945,1,0,0,1,0,19,0.13,0.01,0,0,4
48685,54,9,1420,335,1,0,0,1,0,73,0.66,0.03,0,0,4
34875,49,5,0,0,150,1,1,0.17,0.05,6,0.02,0.07,1,1,0
45471,12,9,45,135,72,0,0,1,0,158,0.77,0.01,0,0,4
15006,4,5,0,0,232,1,1,0.01,0.07,3,0.01,0.07,1,1,0
42970,20,5,0,0,26,1,1,0.5,0.08,59,0.23,0.02,1,1,0
116332,49,4,0,0,1,0,0,1,0,1,0,0.41,0,0,1
89250,49,4,0,0,1,0,0,1,0,1,0.01,0.45,0.07,0,1
33307,24,5,0,0,238,1,1,0.01,0.07,3,0.01,0.08,1,1,0
32117,20,9,29,0,1,0,0,1,0,45,0.47,0.07,0,0,4
116561,59,5,0,0,228,1,1,0.03,0.07,7,0.03,0.08,1,1,0
122866,44,9,146,105,1,0,0,1,0,1,0,0.54,0,0,4
118196,12,9,45,78,160,0,0,1,0,254,1,0.01,0,0,4
28094,24,9,54540,8314,4,0,0,1,0,76,1,0,0,0,0
16274,49,5,0,0,104,1,1,0.06,0.07,10,0.04,0.06,1,1,0
63342,24,9,217,720,3,0,0,1,0,255,1,0,0,0,4
88282,12,9,42,42,189,0,0,1,0,254,1,0.01,0,0,4
70607,60,5,0,0,50,1,1,0.2,0.08,59,0.23,0.02,1,1,0
52103,24,9,237,1358,4,0,0,1,0,255,1,0,0,0,4
63930,24,9,227,1618,15,0,0,1,0,255,1,0,0,0,4
47766,68,5,0,0,243,1,1,0,0.07,1,0,0.08,1,1,0
78411,24,9,207,2055,3,0,0,1,0,255,1,0,0,0,4
51000,8,5,0,0,125,1,1,0.15,0.06,18,0.07,0.06,1,1,0
57171,24,9,169,6236,2,0,0,1,0,255,1,0,0,0,4
10607,24,9,338,278,3,0,0,1,0,225,0.88,0.01,0,0,4
120154,49,5,0,0,261,1,1,0.07,0.07,28,0.11,0.07,1,1,0
18236,49,9,105,146,5,0,0,0.2,0.4,232,0.91,0.01,0,0,4
69638,24,9,212,1197,2,0,0,1,0,255,1,0,0.02,0.01,4
26708,12,9,35,95,1,0,0,1,0,79,0.87,0.03,0,0,4
37027,24,9,240,6086,5,0,0,1,0,255,1,0,0,0,4
67362,13,5,0,0,253,1,1,0.08,0.05,21,0.08,0.05,1,1,0
47892,14,9,8,0,1,0,0,1,0,63,1,0,0,0,1
37238,24,9,304,53,1,0,0.33,1,0,255,1,0,0.02,0.01,4
97248,49,5,0,0,55,1,1,0.45,0.07,24,0.09,0.05,1,1,0
106123,24,9,218,1067,4,0,0,1,0,255,1,0,0,0,4
100547,20,9,245,0,2,0,0,0.5,1,62,0.84,0.12,0,0.02,4
115982,49,1,0,0,214,0,0,0.01,0.07,2,0.01,0.08,0,0,0
89614,24,9,301,2775,12,0,0,1,0,255,1,0,0,0,4
5718,24,9,204,122,3,0,0,1,0,255,1,0,0,0,4
103388,49,5,0,0,264,1,1,0.06,0.06,14,0.05,0.07,1,1,0
49243,24,9,234,608,24,0,0,1,0,255,1,0,0,0,4
73263,66,5,0,0,138,1,1,0.12,0.07,17,0.07,0.05,1,1,0
6693,20,9,5131424,0,1,0,0,1,0,39,1,0,0,0,2
100681,24,9,187,784,5,0,0,1,0,255,1,0,0,0,4
45004,20,9,252,0,2,0,0,1,0,123,0.48,0.02,0,0,4
102608,12,9,45,139,101,0,0,1,0,254,1,0.01,0,0,4
124328,14,9,18,0,1,0,0,1,0,91,1,0,0,0,1
109681,49,5,0,0,263,1,1,0.07,0.06,5,0.02,0.03,1,1,0
89184,49,5,0,0,197,1,1,0.09,0.06,16,0.06,0.07,1,1,0
23192,14,9,8,0,1,0,0,1,0,254,1,0,0,0,1
32536,24,9,219,309,11,0,0,1,0,255,1,0,0,0,4
107321,19,9,1214,3380,1,0,0,1,0,24,0.2,0.04,0,0,4
108372,39,1,0,0,239,0,0,0.01,0.07,3,0.01,0.07,0,0,0
35777,24,9,291,1038,8,0,0,1,0,255,1,0,0,0,4
2709,65,9,78,0,2,0,0,0.5,1,29,0.11,0.01,0,0,4
15070,20,9,3676,0,10,0,0,1,0,91,0.46,0.02,0,0,4
93435,24,5,0,0,44,1,1,0.36,0.09,67,0.26,0.02,1,1,0
67413,49,5,0,0,61,1,1,0.07,0.1,17,0.07,0.08,1,1,0
62376,49,1,0,0,150,0,0,0.05,0.08,7,0.03,0.09,0,0,0
113049,13,5,0,0,239,1,1,0.05,0.05,13,0.05,0.06,1,1,0
97718,54,9,1137,335,1,0,0,1,0,139,0.61,0.06,0,0,4
82834,20,5,0,0,289,1,1,0.06,0.06,6,0.02,0.1,1,1,0
61885,24,9,198,261,13,0,0,1,0,255,1,0,0,0,4
25879,24,9,230,830,12,0,0,1,0,255,1,0,0,0,4
109491,68,5,0,0,203,1,1,0,0.06,1,0,0.08,1,1,0
108843,44,9,1,0,153,0,0,0.02,0.05,3,0.01,0.05,0,0,1
110625,24,9,54540,8314,3,0,0,0.67,0.67,33,1,0,0,0,0
18373,24,9,371,5081,10,0,0,1,0,255,1,0,0,0,4
52047,24,9,350,18445,3,0,0,1,0,255,1,0,0,0,4
38765,49,5,0,0,117,1,1,0.02,0.06,2,0.01,0.08,1,1,0
81674,7,5,0,0,259,1,1,0.03,0.07,7,0.03,0.09,1,1,0
19516,24,9,240,11766,4,0,0,1,0,255,1,0,0,0,4
91204,19,9,333,1054,2,0,0,0.5,1,45,0.18,0.03,0.01,0,4
8125,44,9,1,0,20,0,0,0.1,0.2,2,0.01,0.21,0,0,1
31242,24,1,0,0,1,0,0,1,0,253,1,0,0,0,4
30170,9,5,0,0,214,1,1,0.08,0.06,8,0.03,0.08,1,1,0
73876,20,9,3002,0,1,0,0,1,0,117,0.45,0.01,0,0,4
12133,20,9,2194619,0,2,0,0,1,0,77,0.43,0.03,0,0,4
93407,41,5,0,0,109,1,1,0.18,0.06,20,0.08,0.05,1,1,0
50710,49,5,0,0,201,1,1,0,0.06,4,0.02,0.06,1,1,0
92975,24,9,313,2083,2,0,0,1,0,255,1,0,0,0,4
93243,14,9,8,0,1,0,0,1,0,33,1,0,0,0,1
19259,35,5,0,0,199,1,1,0.04,0.07,7,0.03,0.08,1,1,0
11273,54,9,126,237,1,0,0,1,0,85,0.25,0.75,0,0,4
122953,24,9,239,467,6,0,0,1,0,255,1,0,0,0,4
105742,7,1,0,0,142,0,0,0.08,0.06,7,0.03,0.07,0,0,0
70772,24,9,212,1951,5,0,0,1,0,255,1,0,0,0.01,4
108159,14,9,18,0,1,0,0,1,0,164,1,0,0,0,1
21596,49,5,0,0,123,1,1,0.1,0.07,12,0.05,0.07,1,1,0
49954,56,5,0,0,291,1,1,0.01,0.05,4,0.02,0.05,1,1,0
65937,49,1,0,0,180,0,0,0.07,0.06,12,0.05,0.07,0,0,0
89413,24,9,158,553,7,0,0,1,0,255,1,0,0,0,4
66545,20,9,3775,0,22,0,0,1,0,60,0.35,0.02,0,0,4
98398,44,4,1,0,2,0,0,1,0,2,0.01,0.74,0,0,1
122072,49,5,0,0,249,1,1,0.04,0.06,10,0.04,0.1,1,1,0
82169,24,9,345,515,15,0,0,1,0,255,1,0,0,0,4
94362,24,9,215,2955,1,0,0,1,0,255,1,0,0,0,4
38474,20,9,88382,0,1,0,0,1,0,37,0.36,0.05,0,0,4
53985,24,9,54540,8314,3,0,0,1,0,53,1,0,0,0,0
61344,49,5,0,0,92,1,1,0.01,0.07,2,0.01,0.07,1,1,0
72040,24,5,0,0,241,1,0.67,0.06,0.07,14,0.05,0.06,1,1,0
60620,49,9,1,0,28,0,0,0.04,0.21,1,0,0.83,0.1,0,1
72391,12,9,46,92,312,0,0,1,0.01,233,0.91,0.01,0,0,4
125873,49,5,0,0,256,1,1,0.02,0.06,3,0.01,0.08,1,1,0
1175,24,9,289,2488,4,0,0,1,0,255,1,0,0,0,4
41599,44,1,0,0,416,0.06,0,0,1,1,0,1,0.08,0,1
93368,49,9,1,0,64,0,0,0.58,0.06,101,0.4,0.06,0,0,1
4037,60,9,745,22757,1,0,0,1,0,27,0.11,0.06,0.73,0.56,4
80857,44,2,0,0,205,0,0,0.01,0.06,3,0.01,0.07,0,0,0
41285,24,9,229,942,6,0,0,1,0,255,1,0,0,0,4
44296,49,5,0,0,41,1,1,0.05,0.12,16,0.06,0.08,1,1,0
15824,6,5,0,0,135,1,1,0.14,0.05,19,0.07,0.05,1,1,0
24591,24,9,159,8391,6,0,0,1,0,255,1,0,0,0,4
110316,24,9,332,1298,12,0,0,1,0,255,1,0,0,0,4
90624,60,9,81,965,1,0,0,1,0,5,0.04,0.81,0,0,4
1351,24,9,186,14609,1,0,0,1,0,255,1,0,0,0,4
90912,49,5,0,0,143,1,1,0.04,0.06,13,0.05,0.06,1,1,0
64749,24,9,222,1981,12,0,0,1,0,255,1,0,0,0,4
37769,49,5,0,0,246,1,1,0.03,0.06,8,0.03,0.08,1,1,0
68395,24,9,196,260,16,0,0,1,0,255,1,0,0,0.01,4
122074,24,9,306,1075,7,0,0,1,0,175,0.98,0.01,0,0,4
42291,24,5,0,0,233,1,1,0.02,0.06,4,0.02,0.06,1,1,0
6183,66,5,0,0,131,1,1,0.04,0.06,15,0.06,0.07,1,1,0
74324,24,9,189,270,2,0,0,1,0,238,0.93,0.01,0,0,4
20340,54,9,2018,334,1,0,0,1,0,149,0.25,0.17,0,0.01,4
19021,24,9,326,1891,22,0,0,1,0,255,1,0,0,0,4
35718,24,9,238,17068,11,0,0,1,0,255,1,0,0,0,4
60422,24,9,290,751,5,0,0,1,0,255,1,0,0,0,4
70282,69,1,0,0,66,0.02,0,0.02,1,1,0,0.29,0,0,1
122519,14,9,8,0,1,0,0,1,0,62,1,0,0,0,1
113567,31,5,0,0,19,1,1,0.16,0.16,3,0.01,0.07,1,1,0
113604,24,9,236,2119,10,0,0,1,0,255,1,0,0,0,4
101685,24,9,252,273525,1,0,0,1,0,226,0.89,0.01,0,0,4
59780,15,9,520,0,10,0,0,1,0,255,1,0,0,0,0
35231,32,5,0,0,142,1,1,0.01,0.06,1,0,0.08,1,1,0
90083,49,5,0,0,270,1,1,0.04,0.06,10,0.04,0.09,1,1,0
31461,35,5,0,0,274,1,1,0.01,0.05,3,0.01,0.05,1,1,0
17315,44,9,147,105,4,0,0,0.5,0.5,2,0.01,0.85,0,0,4
122412,15,9,520,0,348,0,0,1,0,255,1,0,0,0,0
38621,24,9,215,261,15,0,0,1,0,255,1,0,0,0,4
100089,24,9,285,412,5,0,0,1,0,255,1,0,0,0,4
24174,36,5,0,0,259,1,1,0,0.06,1,0,0.06,1,1,0
113171,41,5,0,0,93,1,1,0.04,0.08,4,0.02,0.07,1,1,0
100615,14,9,8,0,1,0,0,1,0,119,1,0,0,0,1
57490,24,9,303,1380,4,0,0,1,0,115,0.93,0.02,0.01,0.01,4
31821,9,5,0,0,290,1,1,0.02,0.06,11,0.04,0.08,1,1,0
72334,49,5,0,0,292,1,1,0.05,0.06,14,0.05,0.07,1,1,0
63210,49,1,0,0,209,0,0,0.08,0.07,16,0.06,0.09,0,0,0
82685,19,9,249,774,1,0,0,1,0,53,0.25,0.02,0,0,4
108600,24,7,284,24573,1,1,1,1,0,255,1,0,0.01,0.01,4
91979,12,9,42,42,3,0,0,1,0,247,0.97,0.01,0,0,4
37119,12,9,45,144,49,0,0,0.98,0.04,226,0.89,0.01,0,0,4
45155,14,9,8,0,1,0,0,1,0,145,1,0,0,0,1
98012,49,5,0,0,130,1,1,0.07,0.06,4,0.02,0.07,1,1,0
57429,24,9,342,322,3,0,0,1,0,255,1,0,0,0,4
121994,24,9,237,16307,2,0,0,1,0,100,1,0,0,0,4
35935,54,9,1122,323,1,0,0,1,0,94,0.37,0.03,0,0,4
11396,20,9,192,0,3,0,0,1,0,68,0.24,0.04,0,0,4
94870,49,5,0,0,97,1,1,0.07,0.06,23,0.09,0.07,1,1,0
66432,49,4,0,0,1,0,0,1,0,1,0.01,0.75,0.03,0,1
62285,60,5,0,0,68,0.99,1,0.24,0.07,36,0.14,0.05,1,1,0
12143,24,9,302,307,2,0,0,1,0,255,1,0,0,0,4
16615,20,9,175337,0,1,0,0,1,0,133,0.75,0.04,0.01,0,4
26525,15,9,1032,0,511,0,0,1,0,152,0.62,0.03,0.01,0,0
103375,49,5,0,0,125,1,1,0.02,0.06,11,0.04,0.07,1,1,0
91758,24,9,266,2066,1,0,0,1,0,255,1,0,0,0,4
88806,24,9,326,2035,3,0,0,1,0,255,1,0,0,0,4
65256,12,9,45,138,36,0,0,1,0,252,0.99,0.01,0,0,4
103758,5,5,0,0,173,1,1,0.09,0.06,15,0.06,0.06,1,1,0
1408,19,9,1218,2449,1,0,0,1,0,125,0.49,0.02,0,0,2
70493,49,5,0,0,113,1,1,0.02,0.06,3,0.01,0.06,1,1,0
54914,19,9,1077,2284,1,0,0,1,0,17,0.07,0.02,0.15,0,2
28610,49,1,0,0,2,0,0,0.5,1,1,0,0.79,0,0,1
67212,49,9,105,146,1,0,0,1,0,254,1,0.01,0,0,4
109414,24,9,232,1113,3,0,0,1,0,255,1,0,0,0,4
15382,20,9,2194619,0,2,0,0,1,0,24,0.11,0.05,0,0,4
19637,24,9,198,283,4,0,0,1,0,255,1,0,0,0,4
98973,24,9,214,2124,4,0.25,0.2,1,0,255,1,0,0.02,0.01,4
109801,24,9,297,1155,30,0,0,1,0,219,1,0,0,0,4
98596,44,9,3775,0,20,0.05,0,0.05,0.35,1,0.02,0.18,0.02,0,4
90430,24,9,54540,8314,4,0,0,1,0,43,1,0,0,0,0
9973,24,9,162,434,1,0,0,1,0,255,1,0,0,0,4
21167,49,5,0,0,164,1,1,0.04,0.06,19,0.07,0.06,1,1,0
69382,54,9,553,331,1,0,0,1,0,152,0.6,0.03,0,0,4
48362,24,9,311,447,1,0,0,1,0,2,1,0,0,0,4
112070,49,1,0,0,92,0.01,0,0.01,1,1,0,0.38,0,0,1
57747,24,9,235,579,7,0,0,1,0,255,1,0,0,0,4
83381,54,9,880,335,2,0,0,0.5,1,132,0.51,0.04,0,0,4
123118,49,5,0,0,130,1,1,0.04,0.06,11,0.04,0.07,1,1,0
70480,20,9,641,0,1,0,0,1,0,38,0.16,0.03,0,0,4
50382,12,9,44,76,165,0,0,1,0,192,0.75,0.01,0,0,4
55077,24,9,324,468,10,0,0,1,0,255,1,0,0,0,4
100887,49,9,28,0,97,0,0,1,0,97,0.38,0.04,0.02,0,0
103757,20,9,2881,0,8,0,0,0.88,0.25,89,0.73,0.15,0.04,0,4
91851,24,9,198,20502,7,0,0,1,0,255,1,0,0,0,4
51567,24,9,223,2745,4,0,0,1,0,255,1,0,0,0,4
72910,24,9,306,2592,8,0,0,1,0,255,1,0,0,0,4
66313,24,9,239,474,1,0,0,1,0,255,1,0,0,0,4
94639,19,9,233,768,1,0,0,1,0,21,0.11,0.04,0.01,0,4
89603,14,9,8,0,1,0,0,1,0,227,1,0,0,0,1
112262,24,9,330,273,22,0,0,1,0,75,0.95,0.03,0,0,4
67533,24,9,285,5632,6,0,0,1,0,255,1,0,0,0,4
19959,8,5,0,0,242,1,1,0.02,0.07,5,0.02,0.08,1,1,0
42800,13,5,0,0,217,1,1,0.01,0.06,2,0.01,0.07,1,1,0
39320,12,9,34,0,1,0,0,1,0,8,0.06,0.04,0,0,4
95522,49,10,0,0,1,1,1,1,0,1,0,0.96,0.96,1,1
90215,15,9,1032,0,511,0,0,1,0,249,0.98,0.01,0,0,0
93450,49,1,0,0,2,0,0,0.5,1,1,0,0.41,0,0,1
18652,24,9,303,3120,21,0,0,1,0,255,1,0,0,0,4
23569,49,4,0,0,42,0,0,0.05,0.55,2,0.01,0.11,0.01,0,1
9771,44,9,516,4,407,0,0,1,0,255,1,0,0,0,4
114673,24,9,217,824,12,0,0,1,0,255,1,0,0,0,4
116367,24,9,284,1256,5,0,0,1,0,255,1,0,0,0,4
110229,15,9,1480,0,1,0,0,1,0,151,1,0,0,0,0
68350,18,5,0,0,67,1,1,0.27,0.06,43,0.26,0.03,1,0.88,0
76310,24,9,264,1195,3,0,0,1,0,255,1,0,0,0,4
122941,49,5,0,0,113,0.99,1,0.04,0.07,1,0,0.05,1,1,0
94134,24,9,275,1271,7,0,0,1,0,255,1,0,0,0,4
99004,44,4,0,0,1,0,0,1,0,1,0,0.62,0,0,1
101293,24,9,257,4496,8,0,0,1,0,255,1,0,0,0,4
101316,29,5,0,0,262,1,1,0.07,0.06,19,0.07,0.08,1,1,0
105563,54,9,1206,332,1,0,0,1,0,95,0.62,0.03,0,0,4
92244,49,5,0,0,204,1,1,0.02,0.05,4,0.02,0.05,1,1,0
115347,14,9,8,0,1,0,0,1,0,131,1,0,0,0,1
25159,24,9,299,392,9,0,0,1,0,255,1,0,0,0,4
17191,68,5,0,0,255,1,1,0.08,0.06,9,0.04,0.07,1,1,0
61082,24,9,234,1645,5,0,0,1,0,255,1,0,0,0,4
34575,14,9,18,0,1,0,0,1,0,230,1,0,0,0,1
19562,24,9,303,1380,5,0,0,1,0,255,1,0,0,0,4
81246,14,9,8,0,1,0,0,1,0,108,1,0,0,0,1
91078,12,9,43,109,72,0,0,0.99,0.03,214,0.84,0.02,0,0,4
18928,18,5,0,0,51,1,1,0.35,0.08,38,0.15,0.06,1,1,0
23528,24,9,256,2381,9,0,0,1,0,255,1,0,0,0,4
92954,54,7,1086,331,1,1,0.5,1,0,176,0.92,0.15,0.08,0.02,4
95649,24,9,349,2027,5,0,0,1,0,255,1,0,0,0,4
1099,12,9,29,29,2,0,0,1,0,193,0.98,0.02,0,0,4
94538,49,9,207,0,2,0,0,1,0,62,0.89,0.03,0,0,1
31911,44,9,516,4,470,0,0,1,0,255,1,0,0,0,4
89578,56,9,651,9615,1,0,0,1,0,1,0.01,0.03,0,0,4
113818,24,9,300,1400,44,0,0,1,0,255,1,0,0,0,4
60837,24,9,346,258,9,0,0,1,0,255,1,0,0,0,4
20466,49,9,1,0,10,0,0,0.2,0.4,2,0.01,0.71,0,0,1
83267,49,5,0,0,119,1,1,0.05,0.07,14,0.05,0.07,1,1,0
84734,49,9,105,147,2,0,0,1,0,249,0.98,0.01,0,0,4
92114,24,9,330,273,15,0,0,1,0,247,0.97,0.01,0,0,4
16100,49,5,0,0,50,1,1,0.4,0.08,20,0.08,0.06,1,1,0
34867,49,9,28,0,77,0,0,1,0,177,0.69,0.31,0.09,0,0
57186,4,5,0,0,236,1,1,0.01,0.06,2,0.01,0.07,1,1,0
15988,24,9,328,418,15,0,0,1,0,255,1,0,0,0,4
47725,37,1,0,0,230,0,0,0.04,0.07,10,0.04,0.07,0,0,0
37953,24,9,222,25804,44,0,0,1,0,255,1,0,0,0,4
46647,24,9,198,1413,18,0,0,1,0,255,1,0,0,0,4
43400,12,9,43,126,79,0,0,1,0,254,1,0.01,0,0,4
60464,44,1,0,0,439,0.08,0,0,1,1,0,1,0.06,0,1
14447,24,9,228,302,12,0,0,1,0,255,1,0,0,0,4
14695,60,9,104,1413,1,0,0,1,0,1,0.02,0.08,0,0,4
86796,20,9,748,0,1,0,0,1,0,94,0.36,0.57,0,0,4
2954,24,9,325,2006,10,0,0,1,0,255,1,0,0,0.01,4
103408,49,9,28,0,83,0,0,1,0,50,0.2,0.01,0,0,0
22510,24,5,0,0,11,1,1,0.27,0.36,59,0.23,0.04,1,1,0
